Valores Confirmados;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Fecha;CUPRUM;;HABITAT;;MAGISTER;;PLANVITAL;;PROVIDA;;SANTA MARIA;;SUMMA BANSANDER;
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
01-01-04;13.346,12;3,34252E+11;13.008,63;4,05063E+11;12.560,20;16883377992;13.166,34;28643294096;13.388,29;3,94455E+11;12.971,31;1,35831E+11;13.390,55;2,47379E+11
02-01-04;13.334,16;3,3395E+11;12.995,38;4,11408E+11;12.547,05;16865078217;13.154,66;28617866706;13.381,91;3,94264E+11;12.958,08;1,35693E+11;13.379,08;2,47167E+11
03-01-04;13.334,16;3,3395E+11;12.995,38;4,11408E+11;12.547,05;16865078217;13.154,66;28617866706;13.381,91;3,94264E+11;12.958,08;1,35693E+11;13.379,08;2,47167E+11
04-01-04;13.334,16;3,3395E+11;12.995,38;4,11408E+11;12.547,05;16865078217;13.154,66;28617866706;13.381,91;3,94264E+11;12.958,08;1,35693E+11;13.379,08;2,47167E+11
05-01-04;13.318,05;3,35533E+11;12.986,33;4,11082E+11;12.508,29;16808497147;13.136,74;28576891912;13.368,20;3,93726E+11;12.942,81;1,35408E+11;13.369,62;2,46995E+11
06-01-04;13.341,62;3,36258E+11;13.014,69;4,11935E+11;12.502,90;16801279946;13.152,85;28607791912;13.382,77;3,94078E+11;12.968,25;1,35745E+11;13.394,37;2,47422E+11
07-01-04;13.328,10;3,36528E+11;13.008,25;4,11663E+11;12.460,58;16742916402;13.125,92;28547460312;13.375,46;3,93936E+11;12.948,93;1,35487E+11;13.379,45;2,4797E+11
08-01-04;13.425,65;3,39866E+11;13.101,90;4,14769E+11;12.460,25;16740824813;13.189,25;28974589255;13.465,28;3,96568E+11;13.032,70;1,3638E+11;13.479,98;2,49834E+11
09-01-04;13.424,28;3,40474E+11;13.103,95;4,14772E+11;12.467,14;16753193936;13.189,76;28974031939;13.468,86;3,96663E+11;13.035,08;1,36398E+11;13.473,39;2,50461E+11
