Valores Confirmados;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Fecha;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA;;SANTA MARIA;;SUMMA BANSANDER;;BANSANDER;
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
01-01-05;15.503,63;7,25084E+11;15.027,96;7,21422E+11;14.313,12;97118457470;15.447,19;7,32404E+11;14.905,16;2,76658E+11;15.433,48;4,57175E+11;;
02-01-05;15.503,63;7,25084E+11;15.027,96;7,21422E+11;14.313,12;97118457470;15.447,19;7,32404E+11;14.905,16;2,76658E+11;15.433,48;4,57175E+11;;
03-01-05;15.511,87;7,25672E+11;15.039,82;7,21892E+11;14.325,19;97199844080;15.458,94;7,32823E+11;14.920,61;2,76894E+11;15.447,28;4,57724E+11;;
04-01-05;15.581,23;7,29675E+11;15.103,64;7,2836E+11;14.392,10;97653411314;15.530,48;7,36062E+11;14.986,56;2,78225E+11;15.523,28;4,59951E+11;;
05-01-05;15.613,03;7,31842E+11;15.097,95;7,27983E+11;14.422,81;97854222553;15.557,78;7,372E+11;14.997,73;2,78379E+11;15.548,97;4,61476E+11;;
06-01-05;15.460,23;7,26203E+11;14.975,31;7,25432E+11;14.300,87;97019936893;15.414,97;7,30382E+11;14.869,64;2,75978E+11;15.406,61;4,57094E+11;;
07-01-05;15.285,06;7,19293E+11;14.786,24;7,15864E+11;14.128,37;96538027820;15.222,41;7,21274E+11;14.683,72;2,72512E+11;15.218,26;4,52009E+11;;
08-01-05;15.285,06;7,19293E+11;14.786,24;7,15864E+11;14.128,37;96538027820;15.222,41;7,21274E+11;14.683,72;2,72512E+11;15.218,26;4,52009E+11;;
09-01-05;15.285,06;7,19293E+11;14.786,24;7,15864E+11;14.128,37;96538027820;15.222,41;7,21274E+11;14.683,72;2,72512E+11;15.218,26;4,52009E+11;;
10-01-05;15.227,70;7,17803E+11;14.740,94;7,14265E+11;14.084,40;96232497334;15.173,80;7,24432E+11;14.637,23;2,71636E+11;15.171,05;4,50682E+11;;
11-01-05;15.259,94;7,20429E+11;14.788,44;7,16485E+11;14.116,56;96453681163;15.207,35;7,2539E+11;14.666,71;2,74682E+11;15.200,29;4,5215E+11;;
12-01-05;15.281,15;7,22521E+11;14.807,89;7,17264E+11;14.130,30;96547485011;15.228,46;7,26189E+11;14.684,89;2,75142E+11;15.218,79;4,53837E+11;;
13-01-05;15.288,12;7,23733E+11;14.811,10;7,21508E+11;14.123,74;96515226784;15.217,63;7,25638E+11;14.680,77;2,75014E+11;15.212,23;4,53596E+11;;
14-01-05;15.248,99;7,22756E+11;14.758,66;7,19136E+11;14.082,84;96229039590;15.177,41;7,24055E+11;14.637,59;2,74304E+11;15.169,90;4,53888E+11;;
15-01-05;15.248,99;7,22756E+11;14.758,66;7,19136E+11;14.082,84;96229039590;15.177,41;7,24055E+11;14.637,59;2,74304E+11;15.169,90;4,53888E+11;;
16-01-05;15.248,99;7,22756E+11;14.758,66;7,19136E+11;14.082,84;96229039590;15.177,41;7,24055E+11;14.637,59;2,74304E+11;15.169,90;4,53888E+11;;
17-01-05;15.354,54;7,42936E+11;14.861,47;7,29229E+11;14.189,29;90824202631;15.286,26;7,47608E+11;14.741,78;2,80315E+11;15.284,75;4,58093E+11;;
18-01-05;15.431,49;7,47483E+11;14.927,11;7,32425E+11;14.252,04;99223678319;15.355,47;7,50976E+11;14.811,62;2,81597E+11;15.356,06;4,60503E+11;;
19-01-05;15.492,39;7,51501E+11;14.998,52;7,35972E+11;14.323,42;99727354569;15.426,24;7,5509E+11;14.883,19;2,82944E+11;15.426,77;4,64107E+11;;
20-01-05;15.426,97;7,50248E+11;14.934,08;7,34931E+11;14.258,64;99278926263;15.353,78;7,51646E+11;14.818,82;2,81715E+11;15.360,64;4,62069E+11;;
21-01-05;15.491,75;7,54832E+11;14.993,00;7,4296E+11;14.318,29;99690240614;15.409,43;7,54394E+11;14.876,13;2,82805E+11;15.421,49;4,64293E+11;;
22-01-05;15.491,75;7,54832E+11;14.993,00;7,4296E+11;14.318,29;99690240614;15.409,43;7,54394E+11;14.876,13;2,82805E+11;15.421,49;4,64293E+11;;
23-01-05;15.491,75;7,54832E+11;14.993,00;7,4296E+11;14.318,29;99690240614;15.409,43;7,54394E+11;14.876,13;2,82805E+11;15.421,49;4,64293E+11;;
24-01-05;15.367,00;7,50472E+11;14.872,27;7,36928E+11;14.202,10;98896361065;15.277,92;7,49261E+11;14.752,19;2,8149E+11;15.291,01;4,60361E+11;;
