Valores Confirmados;;;;;;;;;;;;
;;;;;;;;;;;;
Fecha;BANSANDER;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA;;SANTA MARIA;
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
01-01-07;22.294,80;1,41707E+12;22.160,86;2,15446E+12;21.366,32;1,90372E+12;20.519,14;2,26264E+11;22.250,79;2,36935E+12;21.341,85;8,15267E+11
02-01-07;22.327,00;1,41911E+12;22.194,10;2,15758E+12;21.403,23;1,90667E+12;20.549,02;2,26592E+11;22.289,59;2,37322E+12;21.364,50;8,16049E+11
03-01-07;22.414,15;1,43144E+12;22.270,16;2,17603E+12;21.477,93;1,91911E+12;20.633,00;2,24016E+11;22.375,50;2,38574E+12;21.448,77;8,21862E+11
04-01-07;22.477,27;1,43571E+12;22.333,53;2,18252E+12;21.559,69;1,93161E+12;20.698,70;2,29431E+11;22.438,58;2,39346E+12;21.513,81;8,24447E+11
05-01-07;22.516,03;1,43927E+12;22.380,03;2,18996E+12;21.592,21;1,93496E+12;20.740,12;2,32402E+11;22.487,08;2,39914E+12;21.563,82;8,26267E+11
06-01-07;22.516,03;1,43927E+12;22.380,03;2,18996E+12;21.592,21;1,93496E+12;20.740,12;2,32402E+11;22.487,08;2,39914E+12;21.563,82;8,26267E+11
07-01-07;22.516,03;1,43927E+12;22.380,03;2,18996E+12;21.592,21;1,93496E+12;20.740,12;2,32402E+11;22.487,08;2,39914E+12;21.563,82;8,26267E+11
08-01-07;22.430,33;1,43379E+12;22.314,43;2,1856E+12;21.506,20;1,92743E+12;20.651,51;2,31404E+11;22.398,35;2,39759E+12;21.477,52;8,24606E+11
09-01-07;22.324,16;1,42766E+12;22.216,51;2,17767E+12;21.399,80;1,91669E+12;20.542,94;2,3002E+11;22.284,07;2,38498E+12;21.352,48;8,19873E+11
10-01-07;22.284,82;1,42602E+12;22.171,56;2,17314E+12;21.367,09;1,9135E+12;20.506,96;2,29618E+11;22.252,92;2,38062E+12;21.327,82;8,19114E+11
11-01-07;22.177,30;1,41984E+12;22.087,17;2,16606E+12;21.275,70;1,91057E+12;20.413,11;2,28561E+11;22.142,88;2,36972E+12;21.217,75;8,14925E+11
