Valores Confirmados;;;;;;;;;;;;
;;;;;;;;;;;;
Fecha;CAPITAL;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA;;MODELO;
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
01-01-10;23.050,39;3,06812E+12;23.290,37;3,05455E+12;23.467,49;2,87021E+12;22.353,75;2,53687E+11;23.850,87;3,36755E+12;;
02-01-10;23.050,39;3,06812E+12;23.290,37;3,05455E+12;23.467,49;2,87021E+12;22.353,75;2,53687E+11;23.850,87;3,36755E+12;;
03-01-10;23.050,39;3,06812E+12;23.290,37;3,05455E+12;23.467,49;2,87021E+12;22.353,75;2,53687E+11;23.850,87;3,36755E+12;;
04-01-10;23.116,59;3,07682E+12;23.371,30;3,06562E+12;23.495,44;2,87385E+12;22.417,57;2,54474E+11;23.916,83;3,37768E+12;;
05-01-10;23.357,23;3,10817E+12;23.591,11;3,09461E+12;23.790,69;2,90927E+12;22.648,63;2,51603E+11;24.166,18;3,42252E+12;;
06-01-10;23.575,41;3,13833E+12;23.828,55;3,1256E+12;23.958,11;2,93083E+12;22.841,28;2,53818E+11;24.374,61;3,45176E+12;;
07-01-10;23.567,63;3,13991E+12;23.805,59;3,12397E+12;23.962,90;2,93124E+12;22.824,52;2,59608E+11;24.360,16;3,4501E+12;;
08-01-10;23.468,98;3,1304E+12;23.711,33;3,11286E+12;23.887,29;2,92314E+12;22.739,91;2,58661E+11;24.263,02;3,43773E+12;;
09-01-10;23.468,98;3,1304E+12;23.711,33;3,11286E+12;23.887,29;2,92314E+12;22.739,91;2,58661E+11;24.263,02;3,43773E+12;;
10-01-10;23.468,98;3,1304E+12;23.711,33;3,11286E+12;23.887,29;2,92314E+12;22.739,91;2,58661E+11;24.263,02;3,43773E+12;;
11-01-10;23.530,77;3,13999E+12;23.750,31;3,11981E+12;23.960,71;2,93519E+12;22.803,88;2,59503E+11;24.331,53;3,44922E+12;;
12-01-10;23.624,77;3,15338E+12;23.845,90;3,13371E+12;24.028,35;2,94555E+12;22.885,84;2,60459E+11;24.423,12;3,46328E+12;;
13-01-10;23.512,05;3,14006E+12;23.725,22;3,12255E+12;23.903,72;2,93571E+12;22.780,16;2,59531E+11;24.296,17;3,44714E+12;;
14-01-10;23.454,72;3,13613E+12;23.656,12;3,11772E+12;23.879,57;2,93707E+12;22.734,01;2,5941E+11;24.242,88;3,44419E+12;;
15-01-10;23.561,03;3,16318E+12;23.757,83;3,14568E+12;23.974,88;2,95499E+12;22.811,63;2,60158E+11;24.340,85;3,45498E+12;;
16-01-10;23.561,03;3,16318E+12;23.757,83;3,14568E+12;23.974,88;2,95499E+12;22.811,63;2,60158E+11;24.340,85;3,45498E+12;;
17-01-10;23.561,03;3,16318E+12;23.757,83;3,14568E+12;23.974,88;2,95499E+12;22.811,63;2,60158E+11;24.340,85;3,45498E+12;;
18-01-10;23.439,06;3,15527E+12;23.646,07;3,13625E+12;23.818,94;2,94302E+12;22.700,35;2,59516E+11;24.211,04;3,44721E+12;;
19-01-10;23.431,15;3,1568E+12;23.630,95;3,13621E+12;23.832,66;2,94672E+12;22.701,43;2,59748E+11;24.204,81;3,44831E+12;;
20-01-10;23.514,18;3,17008E+12;23.714,50;3,14895E+12;23.931,91;2,9613E+12;22.780,39;2,6069E+11;24.295,76;3,46281E+12;;
21-01-10;23.382,78;3,15339E+12;23.612,88;3,13717E+12;23.742,77;2,93822E+12;22.627,49;2,59007E+11;24.145,10;3,44139E+12;;
22-01-10;23.143,13;3,12295E+12;23.379,64;3,10926E+12;23.512,33;2,91128E+12;22.391,74;2,56433E+11;23.885,91;3,40403E+12;;
23-01-10;23.143,13;3,12295E+12;23.379,64;3,10926E+12;23.512,33;2,91128E+12;22.391,74;2,56433E+11;23.885,91;3,40403E+12;;
24-01-10;23.143,13;3,12295E+12;23.379,64;3,10926E+12;23.512,33;2,91128E+12;22.391,74;2,56433E+11;23.885,91;3,40403E+12;;
25-01-10;22.914,08;3,09435E+12;23.146,94;3,08073E+12;23.281,18;2,88356E+12;22.159,34;2,53825E+11;23.647,93;3,37308E+12;;
26-01-10;22.919,68;3,09794E+12;23.148,33;3,08308E+12;23.301,13;2,8881E+12;22.168,05;2,54069E+11;23.661,05;3,37614E+12;;
27-01-10;22.758,28;3,07851E+12;22.983,46;3,06163E+12;23.143,34;2,87042E+12;21.990,43;2,52134E+11;23.466,62;3,35069E+12;;
28-01-10;22.765,17;3,07965E+12;22.997,37;3,06471E+12;23.147,19;2,87077E+12;21.966,81;2,52023E+11;23.483,55;3,35343E+12;;
29-01-10;22.923,30;3,09826E+12;23.163,19;3,0834E+12;23.275,83;2,88349E+12;22.070,82;2,52964E+11;23.648,06;3,3782E+12;;
30-01-10;22.923,30;3,09826E+12;23.163,19;3,0834E+12;23.275,83;2,88349E+12;22.070,82;2,52964E+11;23.648,06;3,3782E+12;;
31-01-10;22.923,30;3,09826E+12;23.163,19;3,0834E+12;23.275,83;2,88349E+12;22.070,82;2,52964E+11;23.648,06;3,3782E+12;;
01-02-10;22.696,90;3,06076E+12;22.958,54;3,06014E+12;23.083,40;2,86123E+12;21.915,63;2,47187E+11;23.438,51;3,3621E+12;;
02-02-10;22.881,08;3,08718E+12;23.093,75;3,07842E+12;23.295,50;2,88811E+12;22.050,75;2,48862E+11;23.625,16;3,38347E+12;;
03-02-10;23.097,38;3,11637E+12;23.318,60;3,10855E+12;23.482,19;2,912E+12;22.246,17;2,55585E+11;23.841,74;3,41523E+12;;
04-02-10;23.327,08;3,14801E+12;23.546,74;3,1399E+12;23.688,37;2,93837E+12;22.420,33;2,57683E+11;24.053,96;3,44607E+12;;
05-02-10;23.033,31;3,11034E+12;23.248,20;3,1018E+12;23.324,11;2,89448E+12;22.062,85;2,5366E+11;23.707,38;3,39724E+12;;
06-02-10;23.033,31;3,11034E+12;23.248,20;3,1018E+12;23.324,11;2,89448E+12;22.062,85;2,5366E+11;23.707,38;3,39724E+12;;
07-02-10;23.033,31;3,11034E+12;23.248,20;3,1018E+12;23.324,11;2,89448E+12;22.062,85;2,5366E+11;23.707,38;3,39724E+12;;
08-02-10;22.508,21;3,04089E+12;22.726,66;3,03317E+12;22.832,71;2,8348E+12;21.593,92;2,48372E+11;23.188,50;3,32481E+12;;
09-02-10;22.411,03;3,02883E+12;22.642,12;3,02268E+12;22.733,85;2,8238E+12;21.517,02;2,47598E+11;23.097,53;3,31265E+12;;
10-02-10;22.665,69;3,06355E+12;22.879,72;3,05392E+12;23.030,32;2,85949E+12;21.763,60;2,50556E+11;23.378,17;3,35199E+12;;
11-02-10;22.635,73;3,05705E+12;22.886,87;3,05205E+12;22.999,06;2,85301E+12;21.774,90;2,50826E+11;23.368,41;3,34972E+12;;
12-02-10;22.740,67;3,07227E+12;22.986,16;3,06837E+12;23.136,86;2,86929E+12;21.891,92;2,52298E+11;23.492,68;3,36675E+12;;
13-02-10;22.740,67;3,07227E+12;22.986,16;3,06837E+12;23.136,86;2,86929E+12;21.891,92;2,52298E+11;23.492,68;3,36675E+12;;
14-02-10;22.740,67;3,07227E+12;22.986,16;3,06837E+12;23.136,86;2,86929E+12;21.891,92;2,52298E+11;23.492,68;3,36675E+12;;
15-02-10;22.646,63;3,07147E+12;22.937,83;3,07336E+12;23.063,45;2,86993E+12;21.842,87;2,48578E+11;23.426,14;3,36465E+12;;
16-02-10;22.584,47;3,06506E+12;22.912,73;3,07237E+12;23.034,04;2,87042E+12;21.828,56;2,54622E+11;23.387,06;3,35916E+12;;
17-02-10;22.822,35;3,09874E+12;23.121,89;3,10305E+12;23.312,64;2,90778E+12;22.038,20;2,5723E+11;23.633,36;3,39674E+12;;
18-02-10;23.048,58;3,13053E+12;23.355,57;3,1343E+12;23.503,84;2,93251E+12;22.242,52;2,59788E+11;23.857,12;3,43097E+12;;
19-02-10;23.181,65;3,14951E+12;23.449,65;3,14755E+12;23.634,36;2,94995E+12;22.324,36;2,60788E+11;23.959,22;3,44653E+12;;
20-02-10;23.181,65;3,14951E+12;23.449,65;3,14755E+12;23.634,36;2,94995E+12;22.324,36;2,60788E+11;23.959,22;3,44653E+12;;
21-02-10;23.181,65;3,14951E+12;23.449,65;3,14755E+12;23.634,36;2,94995E+12;22.324,36;2,60788E+11;23.959,22;3,44653E+12;;
22-02-10;23.139,57;3,14487E+12;23.404,73;3,14219E+12;23.599,45;2,94689E+12;22.275,60;2,6022E+11;23.912,04;3,44052E+12;;
23-02-10;23.137,21;3,14508E+12;23.439,53;3,14781E+12;23.598,16;2,94748E+12;22.307,45;2,60835E+11;23.940,80;3,44546E+12;;
24-02-10;22.967,33;3,12243E+12;23.283,76;3,12743E+12;23.397,15;2,92298E+12;22.152,14;2,5899E+11;23.761,41;3,4198E+12;;
25-02-10;22.965,30;3,12313E+12;23.254,95;3,12473E+12;23.435,88;2,92949E+12;22.137,94;2,58929E+11;23.760,51;3,42089E+12;;
26-02-10;22.798,45;3,09665E+12;23.086,57;3,09845E+12;23.244,69;2,90053E+12;21.989,00;2,5691E+11;23.590,51;3,39764E+12;;
27-02-10;22.798,45;3,09665E+12;23.086,57;3,09845E+12;23.244,69;2,90053E+12;21.989,00;2,5691E+11;23.590,51;3,39764E+12;;
28-02-10;22.798,45;3,09665E+12;23.086,57;3,09845E+12;23.244,69;2,90053E+12;21.989,00;2,5691E+11;23.590,51;3,39764E+12;;
01-03-10;22.923,71;3,10975E+12;23.225,63;3,11847E+12;23.404,17;2,92363E+12;22.125,75;2,54833E+11;23.732,35;3,42589E+12;;
02-03-10;23.014,36;3,1232E+12;23.319,71;3,13151E+12;23.516,07;2,93817E+12;22.221,82;2,56012E+11;23.829,10;3,43518E+12;;
03-03-10;23.133,40;3,13955E+12;23.462,94;3,15055E+12;23.665,46;2,95469E+12;22.366,48;2,61582E+11;23.970,75;3,45581E+12;;
04-03-10;23.087,34;3,13326E+12;23.457,31;3,14963E+12;23.640,62;2,952E+12;22.375,16;2,61735E+11;23.946,73;3,4528E+12;;
05-03-10;23.035,62;3,12518E+12;23.402,75;3,13876E+12;23.571,59;2,94181E+12;22.333,63;2,61264E+11;23.885,59;3,44207E+12;;
06-03-10;23.035,62;3,12518E+12;23.402,75;3,13876E+12;23.571,59;2,94181E+12;22.333,63;2,61264E+11;23.885,59;3,44207E+12;;
07-03-10;23.035,62;3,12518E+12;23.402,75;3,13876E+12;23.571,59;2,94181E+12;22.333,63;2,61264E+11;23.885,59;3,44207E+12;;
08-03-10;23.177,12;3,1429E+12;23.554,05;3,15697E+12;23.751,89;2,9628E+12;22.480,67;2,62965E+11;24.049,24;3,4635E+12;;
09-03-10;23.260,96;3,15199E+12;23.666,62;3,17095E+12;23.825,49;2,9715E+12;22.578,56;2,64097E+11;24.150,74;3,47699E+12;;
10-03-10;23.367,69;3,16757E+12;23.724,31;3,17801E+12;23.932,39;2,98549E+12;22.653,15;2,64713E+11;24.238,86;3,4896E+12;;
11-03-10;23.531,10;3,19018E+12;23.889,93;3,20123E+12;24.088,22;3,0053E+12;22.793,49;2,66397E+11;24.405,06;3,51382E+12;;
12-03-10;23.669,90;3,21039E+12;23.996,76;3,21832E+12;24.213,84;3,02488E+12;22.890,58;2,67616E+11;24.528,82;3,53059E+12;;
13-03-10;23.669,90;3,21039E+12;23.996,76;3,21832E+12;24.213,84;3,02488E+12;22.890,58;2,67616E+11;24.528,82;3,53059E+12;;
14-03-10;23.669,90;3,21039E+12;23.996,76;3,21832E+12;24.213,84;3,02488E+12;22.890,58;2,67616E+11;24.528,82;3,53059E+12;;
