Valores Confirmados;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA;;UNO;
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
01-01-19;40.639,70;3,66588E+12;42.822,06;4,88055E+12;43.503,13;5,52276E+12;41.899,46;1,08791E+12;39.607,81;4,00408E+11;42.150,88;3,76339E+12;;
02-01-19;40.719,47;3,62233E+12;42.897,91;4,81624E+12;43.585,14;5,43547E+12;42.003,32;1,03727E+12;39.687,99;3,97542E+11;42.234,89;3,74234E+12;;
03-01-19;40.802,04;3,5992E+12;42.983,54;4,78014E+12;43.654,15;5,33024E+12;42.079,31;9,90684E+11;39.765,17;3,954E+11;42.316,96;3,73442E+12;;
04-01-19;40.658,85;3,57756E+12;42.839,58;4,75382E+12;43.519,33;5,29583E+12;41.950,68;9,81148E+11;39.635,14;3,93426E+11;42.167,51;3,71506E+12;;
05-01-19;40.658,85;3,57756E+12;42.839,58;4,75382E+12;43.519,33;5,29583E+12;41.950,68;9,81148E+11;39.635,14;3,93426E+11;42.167,51;3,71506E+12;;
06-01-19;40.658,85;3,57756E+12;42.839,58;4,75382E+12;43.519,33;5,29583E+12;41.950,68;9,81148E+11;39.635,14;3,93426E+11;42.167,51;3,71506E+12;;
07-01-19;40.854,17;3,59137E+12;43.031,24;4,76957E+12;43.687,25;5,30685E+12;42.176,41;9,83297E+11;39.811,40;3,94902E+11;42.376,68;3,73101E+12;;
08-01-19;40.848,13;3,58929E+12;43.019,56;4,76672E+12;43.684,06;5,30305E+12;42.194,10;9,82263E+11;39.810,37;3,94814E+11;42.367,77;3,72955E+12;;
09-01-19;41.025,21;3,60253E+12;43.200,65;4,78518E+12;43.880,21;5,32485E+12;42.371,51;9,86055E+11;39.989,81;3,96616E+11;42.557,94;3,74573E+12;;
10-01-19;41.398,17;3,63721E+12;43.592,40;4,83139E+12;44.287,38;5,37628E+12;42.763,53;9,95767E+11;40.358,43;4,0048E+11;42.959,15;3,78217E+12;;
11-01-19;41.464,21;3,64621E+12;43.660,51;4,84314E+12;44.346,00;5,38772E+12;42.838,32;9,99024E+11;40.426,05;4,01441E+11;43.022,74;3,78975E+12;;
12-01-19;41.464,21;3,64621E+12;43.660,51;4,84314E+12;44.346,00;5,38772E+12;42.838,32;9,99024E+11;40.426,05;4,01441E+11;43.022,74;3,78975E+12;;
13-01-19;41.464,21;3,64621E+12;43.660,51;4,84314E+12;44.346,00;5,38772E+12;42.838,32;9,99024E+11;40.426,05;4,01441E+11;43.022,74;3,78975E+12;;
14-01-19;41.468,34;3,65038E+12;43.657,17;4,8492E+12;44.340,68;5,39216E+12;42.821,98;1,00195E+12;40.419,76;4,01782E+11;43.023,76;3,79427E+12;;
15-01-19;41.309,17;3,64296E+12;43.486,60;4,82926E+12;44.161,69;5,38422E+12;42.657,01;9,99692E+11;40.263,84;4,01271E+11;42.851,23;3,77559E+12;;
16-01-19;41.478,81;3,6592E+12;43.655,26;4,84875E+12;44.327,43;5,40847E+12;42.822,93;1,00383E+12;40.416,32;4,03383E+11;43.019,96;3,79149E+12;;
17-01-19;41.601,74;3,67025E+12;43.776,85;4,86145E+12;44.451,86;5,42328E+12;42.951,70;1,00701E+12;40.524,95;4,04582E+11;43.143,51;3,80232E+12;;
18-01-19;41.640,19;3,67296E+12;43.826,54;4,86682E+12;44.498,91;5,42941E+12;43.006,48;1,00843E+12;40.569,15;4,04672E+11;43.190,30;3,80548E+12;;
19-01-19;41.640,19;3,67296E+12;43.826,54;4,86682E+12;44.498,91;5,42941E+12;43.006,48;1,00843E+12;40.569,15;4,04672E+11;43.190,30;3,80548E+12;;
20-01-19;41.640,19;3,67296E+12;43.826,54;4,86682E+12;44.498,91;5,42941E+12;43.006,48;1,00843E+12;40.569,15;4,04672E+11;43.190,30;3,80548E+12;;
21-01-19;41.872,75;3,69271E+12;44.073,01;4,89431E+12;44.745,58;5,46074E+12;43.265,74;1,01477E+12;40.792,45;4,06826E+11;43.431,89;3,82645E+12;;
22-01-19;41.992,82;3,69708E+12;44.189,44;4,91392E+12;44.864,85;5,47217E+12;43.376,31;1,01729E+12;40.901,14;4,07775E+11;43.545,86;3,83836E+12;;
23-01-19;41.676,09;3,66858E+12;43.847,19;4,87859E+12;44.525,78;5,4295E+12;43.033,20;1,00926E+12;40.589,32;4,04733E+11;43.213,31;3,80897E+12;;
24-01-19;41.712,77;3,66593E+12;43.890,31;4,87303E+12;44.569,64;5,42505E+12;43.060,02;1,00593E+12;40.625,72;4,04793E+11;43.259,34;3,81079E+12;;
25-01-19;41.828,95;3,67189E+12;44.006,35;4,8804E+12;44.683,57;5,42874E+12;43.192,60;1,00594E+12;40.727,62;4,05535E+11;43.377,60;3,81949E+12;;
26-01-19;41.828,95;3,67189E+12;44.006,35;4,8804E+12;44.683,57;5,42874E+12;43.192,60;1,00594E+12;40.727,62;4,05535E+11;43.377,60;3,81949E+12;;
27-01-19;41.828,95;3,67189E+12;44.006,35;4,8804E+12;44.683,57;5,42874E+12;43.192,60;1,00594E+12;40.727,62;4,05535E+11;43.377,60;3,81949E+12;;
28-01-19;41.938,45;3,67652E+12;44.116,87;4,88646E+12;44.812,98;5,43701E+12;43.307,55;1,00716E+12;40.827,14;4,06496E+11;43.499,31;3,82805E+12;;
29-01-19;41.976,00;3,67797E+12;44.144,05;4,8833E+12;44.837,51;5,4336E+12;43.338,29;1,00611E+12;40.849,95;4,06443E+11;43.527,25;3,82328E+12;;
30-01-19;41.923,21;3,70466E+12;44.095,07;4,91777E+12;44.777,72;5,51845E+12;43.278,61;1,0551E+12;40.798,63;4,09079E+11;43.487,63;3,83168E+12;;
31-01-19;41.914,02;3,72189E+12;44.096,19;4,93966E+12;44.789,42;5,58607E+12;43.294,24;1,08936E+12;40.797,89;4,10028E+11;43.487,76;3,83453E+12;;
01-02-19;41.868,36;3,72485E+12;44.048,89;4,95683E+12;44.759,43;5,62174E+12;43.282,94;1,10282E+12;40.749,55;4,08863E+11;43.455,55;3,82514E+12;;
02-02-19;41.868,36;3,72485E+12;44.048,89;4,95683E+12;44.759,43;5,62174E+12;43.282,94;1,10282E+12;40.749,55;4,08863E+11;43.455,55;3,82514E+12;;
03-02-19;41.868,36;3,72485E+12;44.048,89;4,95683E+12;44.759,43;5,62174E+12;43.282,94;1,10282E+12;40.749,55;4,08863E+11;43.455,55;3,82514E+12;;
04-02-19;41.835,23;3,72612E+12;43.997,94;4,9551E+12;44.698,39;5,61597E+12;43.239,69;1,10429E+12;40.710,10;4,08848E+11;43.395,38;3,821E+12;;
05-02-19;41.851,65;3,72878E+12;44.015,42;4,95892E+12;44.714,60;5,62076E+12;43.269,61;1,1065E+12;40.719,20;4,0909E+11;43.410,71;3,82304E+12;;
06-02-19;41.912,10;3,7362E+12;44.092,14;4,96837E+12;44.800,72;5,63333E+12;43.337,71;1,10906E+12;40.780,52;4,09911E+11;43.483,53;3,83009E+12;;
07-02-19;41.851,06;3,73043E+12;44.019,46;4,9604E+12;44.725,30;5,62408E+12;43.277,88;1,10783E+12;40.713,95;4,0933E+11;43.413,93;3,82439E+12;;
08-02-19;41.664,85;3,71565E+12;43.817,04;4,9399E+12;44.519,24;5,60043E+12;43.063,02;1,1037E+12;40.533,95;4,07708E+11;43.215,81;3,80823E+12;;
09-02-19;41.664,85;3,71565E+12;43.817,04;4,9399E+12;44.519,24;5,60043E+12;43.063,02;1,1037E+12;40.533,95;4,07708E+11;43.215,81;3,80823E+12;;
10-02-19;41.664,85;3,71565E+12;43.817,04;4,9399E+12;44.519,24;5,60043E+12;43.063,02;1,1037E+12;40.533,95;4,07708E+11;43.215,81;3,80823E+12;;
11-02-19;41.526,13;3,70508E+12;43.666,31;4,92538E+12;44.366,08;5,58549E+12;42.915,16;1,10126E+12;40.397,27;4,06585E+11;43.067,69;3,79703E+12;;
12-02-19;41.724,30;3,7252E+12;43.870,18;4,95209E+12;44.566,77;5,61579E+12;43.123,34;1,10802E+12;40.589,89;4,08687E+11;43.274,99;3,81761E+12;;
13-02-19;41.941,08;3,74841E+12;44.114,81;4,98672E+12;44.818,09;5,65208E+12;43.362,24;1,11648E+12;40.806,59;4,11414E+11;43.513,24;3,84342E+12;;
14-02-19;42.079,51;3,76568E+12;44.257,42;5,00944E+12;44.964,92;5,67662E+12;43.515,37;1,12231E+12;40.935,55;4,13462E+11;43.652,62;3,86311E+12;;
15-02-19;42.279,98;3,78755E+12;44.474,41;5,02337E+12;45.186,70;5,71372E+12;43.732,03;1,13043E+12;41.147,40;4,16223E+11;43.872,19;3,87191E+12;;
16-02-19;42.279,98;3,78755E+12;44.474,41;5,02337E+12;45.186,70;5,71372E+12;43.732,03;1,13043E+12;41.147,40;4,16223E+11;43.872,19;3,87191E+12;;
17-02-19;42.279,98;3,78755E+12;44.474,41;5,02337E+12;45.186,70;5,71372E+12;43.732,03;1,13043E+12;41.147,40;4,16223E+11;43.872,19;3,87191E+12;;
18-02-19;42.226,66;3,79902E+12;44.424,22;5,01984E+12;45.140,54;5,72227E+12;43.698,09;1,13173E+12;41.093,49;4,15804E+11;43.808,49;3,86786E+12;;
19-02-19;42.177,63;3,79633E+12;44.369,84;5,01608E+12;45.085,94;5,71856E+12;43.657,20;1,13125E+12;41.039,61;4,15466E+11;43.757,13;3,86333E+12;;
20-02-19;42.139,99;3,79509E+12;44.332,63;5,01327E+12;45.048,78;5,71568E+12;43.615,12;1,13045E+12;41.000,80;4,15211E+11;43.717,32;3,85819E+12;;
21-02-19;42.139,00;3,79575E+12;44.328,91;5,01363E+12;45.046,79;5,71597E+12;43.622,68;1,1308E+12;40.995,70;4,15261E+11;43.717,24;3,8581E+12;;
22-02-19;42.110,60;3,80067E+12;44.291,32;5,01012E+12;45.015,35;5,71173E+12;43.579,40;1,13063E+12;40.965,36;4,14978E+11;43.674,07;3,85409E+12;;
23-02-19;42.110,60;3,80067E+12;44.291,32;5,01012E+12;45.015,35;5,71173E+12;43.579,40;1,13063E+12;40.965,36;4,14978E+11;43.674,07;3,85409E+12;;
24-02-19;42.110,60;3,80067E+12;44.291,32;5,01012E+12;45.015,35;5,71173E+12;43.579,40;1,13063E+12;40.965,36;4,14978E+11;43.674,07;3,85409E+12;;
25-02-19;42.220,38;3,81453E+12;44.417,04;5,02416E+12;45.135,47;5,72738E+12;43.700,78;1,1333E+12;41.068,83;4,16085E+11;43.792,11;3,8637E+12;;
26-02-19;42.321,04;3,82509E+12;44.517,15;5,03545E+12;45.248,59;5,74006E+12;43.796,79;1,13502E+12;41.158,09;4,1698E+11;43.899,11;3,87342E+12;;
27-02-19;42.262,34;3,82038E+12;44.460,85;5,02897E+12;45.181,60;5,73162E+12;43.740,56;1,1334E+12;41.104,53;4,16458E+11;43.833,76;3,86789E+12;;
28-02-19;42.117,74;3,79976E+12;44.306,21;5,00108E+12;45.027,63;5,69966E+12;43.590,56;1,12802E+12;40.957,76;4,14299E+11;43.677,88;3,84565E+12;;
01-03-19;41.984,09;3,79015E+12;44.166,92;4,98287E+12;44.885,34;5,69199E+12;43.443,33;1,12627E+12;40.837,18;4,12636E+11;43.537,42;3,82884E+12;;
02-03-19;41.984,09;3,79015E+12;44.166,92;4,98287E+12;44.885,34;5,69199E+12;43.443,33;1,12627E+12;40.837,18;4,12636E+11;43.537,42;3,82884E+12;;
03-03-19;41.984,09;3,79015E+12;44.166,92;4,98287E+12;44.885,34;5,69199E+12;43.443,33;1,12627E+12;40.837,18;4,12636E+11;43.537,42;3,82884E+12;;
04-03-19;42.269,65;3,81683E+12;44.474,21;5,01821E+12;45.192,89;5,73218E+12;43.745,79;1,13472E+12;41.118,75;4,15261E+11;43.841,98;3,85598E+12;;
05-03-19;42.343,78;3,82509E+12;44.550,04;5,03336E+12;45.278,53;5,74057E+12;43.815,63;1,13717E+12;41.189,82;4,15951E+11;43.916,98;3,86523E+12;;
06-03-19;42.237,63;3,81526E+12;44.441,55;5,02042E+12;45.163,46;5,72278E+12;43.724,25;1,13472E+12;41.083,26;4,14811E+11;43.807,44;3,85551E+12;;
07-03-19;42.209,13;3,81298E+12;44.402,50;5,00985E+12;45.128,17;5,71545E+12;43.682,09;1,13416E+12;41.054,84;4,14535E+11;43.780,60;3,85248E+12;;
08-03-19;42.099,32;3,79382E+12;44.274,02;4,99455E+12;45.000,11;5,68825E+12;43.566,66;1,13082E+12;40.950,05;4,13499E+11;43.660,04;3,8419E+12;;
09-03-19;42.099,32;3,79382E+12;44.274,02;4,99455E+12;45.000,11;5,68825E+12;43.566,66;1,13082E+12;40.950,05;4,13499E+11;43.660,04;3,8419E+12;;
10-03-19;42.099,32;3,79382E+12;44.274,02;4,99455E+12;45.000,11;5,68825E+12;43.566,66;1,13082E+12;40.950,05;4,13499E+11;43.660,04;3,8419E+12;;
11-03-19;42.246,74;3,80727E+12;44.432,07;5,0125E+12;45.155,33;5,70647E+12;43.711,94;1,13527E+12;41.099,77;4,15027E+11;43.820,35;3,85474E+12;;
12-03-19;42.622,36;3,84418E+12;44.839,80;5,0618E+12;45.561,88;5,75986E+12;44.115,14;1,1473E+12;41.466,73;4,18984E+11;44.215,26;3,89113E+12;;
13-03-19;42.703,34;3,85642E+12;44.924,59;5,07516E+12;45.655,92;5,77236E+12;44.195,18;1,1516E+12;41.545,05;4,19928E+11;44.301,73;3,90395E+12;;
14-03-19;42.720,32;3,86392E+12;44.940,63;5,08E+12;45.671,88;5,77764E+12;44.227,83;1,15481E+12;41.564,05;4,20718E+11;44.321,33;3,91168E+12;;
15-03-19;42.889,51;3,88505E+12;45.121,87;5,09364E+12;45.848,66;5,8118E+12;44.402,78;1,1602E+12;41.729,57;4,22696E+11;44.500,29;3,92113E+12;;
16-03-19;42.889,51;3,88505E+12;45.121,87;5,09364E+12;45.848,66;5,8118E+12;44.402,78;1,1602E+12;41.729,57;4,22696E+11;44.500,29;3,92113E+12;;
17-03-19;42.889,51;3,88505E+12;45.121,87;5,09364E+12;45.848,66;5,8118E+12;44.402,78;1,1602E+12;41.729,57;4,22696E+11;44.500,29;3,92113E+12;;
18-03-19;43.050,15;3,89827E+12;45.291,12;5,11136E+12;46.031,64;5,83206E+12;44.566,14;1,16412E+12;41.885,99;4,24244E+11;44.672,76;3,93619E+12;;
19-03-19;43.172,89;3,90885E+12;45.416,87;5,1251E+12;46.155,70;5,84614E+12;44.693,12;1,16719E+12;42.004,60;4,2548E+11;44.800,64;3,94721E+12;;
20-03-19;43.139,58;3,90508E+12;45.387,48;5,1205E+12;46.120,31;5,83964E+12;44.666,39;1,16361E+12;41.974,99;4,25079E+11;44.776,99;3,94385E+12;;
21-03-19;43.069,16;3,89448E+12;45.301,71;5,11024E+12;46.039,21;5,82861E+12;44.567,02;1,16113E+12;41.904,32;4,24549E+11;44.703,85;3,93687E+12;;
22-03-19;43.007,50;3,88945E+12;45.234,28;5,10156E+12;45.971,33;5,82002E+12;44.505,72;1,15916E+12;41.838,16;4,23733E+11;44.622,13;3,92904E+12;;
23-03-19;43.007,50;3,88945E+12;45.234,28;5,10156E+12;45.971,33;5,82002E+12;44.505,72;1,15916E+12;41.838,16;4,23733E+11;44.622,13;3,92904E+12;;
24-03-19;43.007,50;3,88945E+12;45.234,28;5,10156E+12;45.971,33;5,82002E+12;44.505,72;1,15916E+12;41.838,16;4,23733E+11;44.622,13;3,92904E+12;;
25-03-19;43.079,19;3,89739E+12;45.298,06;5,10929E+12;46.044,15;5,82731E+12;44.564,09;1,16053E+12;41.919,88;4,24346E+11;44.705,35;3,9368E+12;;
26-03-19;42.917,83;3,88469E+12;45.122,51;5,08831E+12;45.873,70;5,80292E+12;44.387,06;1,15593E+12;41.755,13;4,22646E+11;44.528,52;3,91941E+12;;
27-03-19;43.115,86;3,90355E+12;45.334,51;5,1122E+12;46.085,47;5,8309E+12;44.603,08;1,16216E+12;41.952,89;4,24394E+11;44.730,65;3,93711E+12;;
28-03-19;43.157,22;3,89739E+12;45.367,80;5,11054E+12;46.128,28;5,82909E+12;44.646,23;1,16319E+12;41.991,68;4,24757E+11;44.782,61;3,94151E+12;;
29-03-19;43.092,72;3,87433E+12;45.299,83;5,08062E+12;46.065,52;5,79265E+12;44.572,07;1,15754E+12;41.912,66;4,23048E+11;44.719,84;3,92374E+12;;
30-03-19;43.092,72;3,87433E+12;45.299,83;5,08062E+12;46.065,52;5,79265E+12;44.572,07;1,15754E+12;41.912,66;4,23048E+11;44.719,84;3,92374E+12;;
31-03-19;43.092,72;3,87433E+12;45.299,83;5,08062E+12;46.065,52;5,79265E+12;44.572,07;1,15754E+12;41.912,66;4,23048E+11;44.719,84;3,92374E+12;;
01-04-19;43.284,06;3,88785E+12;45.505,99;5,09606E+12;46.280,19;5,82238E+12;44.773,50;1,16433E+12;42.097,34;4,24019E+11;44.924,43;3,93056E+12;;
02-04-19;43.429,94;3,89948E+12;45.654,50;5,11014E+12;46.435,18;5,83885E+12;44.932,98;1,16835E+12;42.243,37;4,25477E+11;45.087,38;3,94388E+12;;
03-04-19;43.302,53;3,88594E+12;45.516,13;5,09017E+12;46.301,77;5,8198E+12;44.806,77;1,16482E+12;42.122,55;4,24475E+11;44.960,69;3,93223E+12;;
04-04-19;43.376,75;3,89258E+12;45.596,80;5,09507E+12;46.377,67;5,82703E+12;44.888,10;1,16707E+12;42.193,27;4,25133E+11;45.042,83;3,93947E+12;;
05-04-19;43.384,98;3,89404E+12;45.595,16;5,09475E+12;46.385,69;5,82775E+12;44.881,79;1,16739E+12;42.198,57;4,25201E+11;45.048,29;3,94E+12;;
06-04-19;43.384,98;3,89404E+12;45.595,16;5,09475E+12;46.385,69;5,82775E+12;44.881,79;1,16739E+12;42.198,57;4,25201E+11;45.048,29;3,94E+12;;
07-04-19;43.384,98;3,89404E+12;45.595,16;5,09475E+12;46.385,69;5,82775E+12;44.881,79;1,16739E+12;42.198,57;4,25201E+11;45.048,29;3,94E+12;;
08-04-19;43.442,21;3,90512E+12;45.652,70;5,10095E+12;46.445,60;5,83503E+12;44.936,28;1,16929E+12;42.251,48;4,2573E+11;45.106,37;3,94529E+12;;
09-04-19;43.443,38;3,91503E+12;45.647,15;5,10102E+12;46.444,40;5,83754E+12;44.949,01;1,17105E+12;42.254,72;4,2594E+11;45.101,95;3,94518E+12;;
10-04-19;43.449,62;3,92032E+12;45.647,08;5,10284E+12;46.448,02;5,84008E+12;44.926,55;1,17151E+12;42.258,43;4,2603E+11;45.108,16;3,94678E+12;;
11-04-19;43.490,77;3,9271E+12;45.693,57;5,11013E+12;46.495,62;5,84901E+12;45.004,27;1,17477E+12;42.304,72;4,26705E+11;45.149,11;3,95205E+12;;
12-04-19;43.400,27;3,92342E+12;45.601,29;5,10453E+12;46.391,69;5,84014E+12;44.903,42;1,17475E+12;42.216,44;4,26041E+11;45.057,00;3,94722E+12;;
13-04-19;43.400,27;3,92342E+12;45.601,29;5,10453E+12;46.391,69;5,84014E+12;44.903,42;1,17475E+12;42.216,44;4,26041E+11;45.057,00;3,94722E+12;;
14-04-19;43.400,27;3,92342E+12;45.601,29;5,10453E+12;46.391,69;5,84014E+12;44.903,42;1,17475E+12;42.216,44;4,26041E+11;45.057,00;3,94722E+12;;
15-04-19;43.323,24;3,92755E+12;45.526,35;5,09022E+12;46.310,56;5,84356E+12;44.835,72;1,17357E+12;42.140,81;4,24556E+11;44.976,04;3,93258E+12;;
16-04-19;43.421,23;3,94196E+12;45.624,00;5,10614E+12;46.411,72;5,86171E+12;44.927,43;1,17858E+12;42.240,75;4,26116E+11;45.070,75;3,9461E+12;;
