
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA;;UNO
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2025-01-01;70.735,03;5957005569484;73.991,94;6960210652099;75.818,99;8830104489252;72.421,26;2236211060813;68.900,44;1397735571254;73.681,52;4832097383836;74.684,69;432415408312
2025-01-02;70.877,45;5975863289132;74.140,03;6975411317299;75.982,11;8854912098648;72.562,44;2244421958040;69.041,38;1405494539608;73.804,45;4836208035097;74.821,54;435406842258
2025-01-03;70.881,64;5978441484958;74.160,86;6977796856243;75.994,77;8860891392968;72.570,26;2245794530630;69.045,45;1406166710500;73.816,63;4837470668136;74.835,95;435913530857
2025-01-04;70.881,64;5978441484958;74.160,86;6977796856243;75.994,77;8860891392968;72.570,26;2245794530630;69.045,45;1406166710500;73.816,63;4837470668136;74.835,95;435913530857
2025-01-05;70.881,64;5978441484958;74.160,86;6977796856243;75.994,77;8860891392968;72.570,26;2245794530630;69.045,45;1406166710500;73.816,63;4837470668136;74.835,95;435913530857
2025-01-06;71.762,72;6054085321167;75.121,19;7069071854948;76.955,27;8974564963843;73.501,31;2276098563288;69.923,57;1424155534261;74.761,45;4899408922610;75.822,80;442012958900
2025-01-07;71.996,66;6075447177826;75.341,29;7090295401528;77.215,00;9006922103586;73.752,20;2284253235194;70.133,31;1428559685675;74.968,21;4912928266861;76.063,47;443550730174
2025-01-08;71.513,35;6035883080300;74.829,19;7042918927464;76.684,69;8946344065278;73.254,15;2269627292229;69.686,78;1420110068659;74.459,39;4880132242837;75.570,80;440840120208
2025-01-09;71.554,56;6040333356051;74.883,05;7048581109402;76.662,39;8945478721183;73.242,37;2270031531180;69.644,67;1419589564225;74.513,04;4884137825115;75.433,08;440441762092
2025-01-10;71.414,11;6032073037566;74.730,46;7032082369907;76.498,94;8932331154184;73.089,53;2266840408742;69.491,98;1417393264520;74.373,02;4876631102337;75.261,49;440162909897
2025-01-11;71.414,11;6032073037566;74.730,46;7032082369907;76.498,94;8932331154184;73.089,53;2266840408742;69.491,98;1417393264520;74.373,02;4876631102337;75.261,49;440162909897
2025-01-12;71.414,11;6032073037566;74.730,46;7032082369907;76.498,94;8932331154184;73.089,53;2266840408742;69.491,98;1417393264520;74.373,02;4876631102337;75.261,49;440162909897
2025-01-13;70.886,38;5992382426191;74.167,99;6981164336677;75.900,79;8866354103113;72.542,68;2251248222570;68.976,13;1407376175292;73.796,86;4840511573685;74.656,32;436979918308
2025-01-14;70.814,79;5992316982904;74.106,86;6978579451758;75.808,74;8861365910737;72.464,82;2251133128030;68.933,28;1407881372358;73.733,83;4839107253015;74.609,46;437582842087
